acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,loudness,valence,loudness_instrumentalness_diff,energy_instrumentalness_diff,danceability_energy_diff,popularity
0.124,0.607,206107,0.912,0.0,0.332,0.0611,-3.449,0.722,3.449,0.912,0.30500000000000005,80
0.0014,0.628,203680,0.833,0.0,0.104,0.0311,-6.327,0.309,6.327,0.833,0.20499999999999996,72
0.141,0.536,196163,0.605,0.0,0.0614,0.0338,-5.292,0.341,5.292,0.605,0.06899999999999995,61
0.577,0.582,207541,0.568,0.0,0.105,0.0275,-7.3,0.394,7.3,0.568,0.014000000000000012,82
0.277,0.534,277660,0.466,0.0,0.0979,0.0272,-6.98,0.23,6.98,0.466,0.068,75
0.555,0.369,228013,0.192,8.35e-06,0.0954,0.04,-12.151,0.148,12.15100835,0.19199165,0.177,88
0.0237,0.516,166301,0.867,0.0,0.106,0.0328,-3.139,0.615,3.139,0.867,0.351,69
0.126,0.38,223120,0.488,7.23e-06,0.115,0.029,-6.637,0.268,6.637007229999999,0.48799276999999996,0.10799999999999998,77
0.357,0.789,167680,0.642,0.0,0.0985,0.0352,-8.304,0.755,8.304,0.642,0.14700000000000002,76
0.0196,0.589,199000,0.829,0.0,0.128,0.0332,-4.861,0.563,4.861,0.829,0.24,73
0.01,0.584,201733,0.821,0.0,0.196,0.0305,-3.628,0.571,3.628,0.821,0.237,69
0.0823,0.594,162587,0.838,0.0,0.126,0.0323,-3.768,0.524,3.768,0.838,0.244,74
0.00799,0.618,196890,0.75,0.0,0.141,0.0287,-4.608,0.619,4.608,0.75,0.132,72
0.0115,0.529,187957,0.858,2.91e-05,0.345,0.0536,-6.015,0.676,6.0150291,0.8579709,0.32899999999999996,69
0.0482,0.674,167760,0.873,0.0,0.18,0.0285,-4.256,0.946,4.256,0.873,0.19899999999999995,70
0.0579,0.661,175213,0.749,0.0,0.0898,0.0371,-4.851,0.682,4.851,0.749,0.08799999999999997,68
0.175,0.796,151973,0.621,0.0,0.274,0.0346,-6.129,0.808,6.129,0.621,0.17500000000000004,74
0.0906,0.521,224985,0.833,3.13e-06,0.0647,0.0313,-6.992,0.581,6.99200313,0.83299687,0.31199999999999994,69
0.176,0.4,221520,0.647,5.79e-05,0.11,0.0337,-7.279,0.274,7.2790579,0.6469421,0.247,72
0.257,0.628,191227,0.632,0.0,0.288,0.0325,-5.932,0.559,5.932,0.632,0.0040000000000000036,74
0.146,0.577,175840,0.601,0.0,0.0886,0.0357,-5.01,0.907,5.01,0.601,0.02400000000000002,68
0.118,0.544,196253,0.572,0.0,0.234,0.0319,-6.205,0.52,6.205,0.572,0.027999999999999914,71
0.45,0.614,168448,0.837,2.49e-05,0.115,0.0255,-3.967,0.862,3.9670249,0.8369751,0.22299999999999998,71
0.73,0.646,195587,0.598,5.87e-06,0.118,0.0425,-10.293,0.606,10.29300587,0.59799413,0.04800000000000004,69
0.0419,0.365,232093,0.541,2.25e-06,0.281,0.0304,-7.489,0.329,7.4890022499999995,0.54099775,0.17600000000000005,76
0.217,0.342,169307,0.591,0.0,0.16,0.0452,-5.115,0.399,5.115,0.591,0.24899999999999994,70
0.0392,0.641,218806,0.547,0.0,0.0771,0.0247,-5.094,0.487,5.094,0.547,0.09399999999999997,69
0.454,0.676,166036,0.856,0.0,0.141,0.0393,-4.35,0.965,4.35,0.856,0.17999999999999994,65
0.0933,0.373,206493,0.845,0.0,0.134,0.0595,-3.748,0.606,3.748,0.845,0.472,67
